Entry_Date,Entry_Label,Entry,Amount,Exit,Exit_Label,Exit_Date,High,Low,Duration,Max_Offset,Min_Offset,Max_Date,Min_Date,Drawdown,PnL
2009-07-06,Lex,1.0563,9467,1.0893,PnL,2009-07-06,1.0905,1.0454,1,0,0,2009-07-06,2009-07-06,0.0414,312.3163
2009-07-08,Lex,1.0413,4951,1.0192,D3,2009-07-10,1.0525,0.9866,3,2,0,2009-07-09,2009-07-08,0.0626,-109.6646
2009-07-08,Lex,1.0413,4952,1.0936,PnL,2009-07-13,1.0525,0.9866,4,2,0,2009-07-09,2009-07-08,0.0626,259.0886
2009-08-12,Lex,1.4624,7153,1.5196,PnL,2009-08-12,1.5519,1.4624,1,0,0,2009-08-12,2009-08-12,0.0577,409.1516
2009-09-02,Lex,1.4631,7430,1.4657,PnL,2009-09-02,1.4919,1.4535,1,0,0,2009-09-02,2009-09-02,0.0257,19.1694
2009-09-03,Lex,1.4896,7310,1.4981,PnL,2009-09-03,1.5061,1.4553,1,0,0,2009-09-03,2009-09-03,0.0337,62.2081
2009-09-28,Lex,1.7152,6385,1.7858,PnL,2009-09-28,1.7983,1.7152,1,0,0,2009-09-28,2009-09-28,0.0462,450.4617
2009-10-05,Lex,1.6165,7053,1.6687,PnL,2009-10-05,1.6822,1.6019,1,0,0,2009-10-05,2009-10-05,0.0477,367.8845
2009-10-22,Lex,1.8713,6290,1.9285,PnL,2009-10-22,1.9471,1.8348,1,0,0,2009-10-22,2009-10-22,0.0577,360.0396
2009-10-26,Lex,1.869,3245,1.6772,D3,2009-10-28,1.9264,1.7655,3,0,2,2009-10-26,2009-10-27,0.0835,-622.4559
2009-10-26,Lex,1.869,3245,1.6645,Exp,2009-11-02,1.9264,1.623,6,0,5,2009-10-26,2009-10-30,0.1575,-663.6999
2009-11-23,Lex,1.9817,5472,1.9886,PnL,2009-11-23,2.0285,1.9744,1,0,0,2009-11-23,2009-11-23,0.0267,37.5926
2009-11-30,Lex,1.9108,5695,1.9379,PnL,2009-11-30,1.9464,1.8876,1,0,0,2009-11-30,2009-11-30,0.0302,154.1636
2009-12-09,Lex,1.9141,5765,1.9352,PnL,2009-12-09,1.9453,1.8851,1,0,0,2009-12-09,2009-12-09,0.0309,121.4109
2009-12-10,Lex,1.9728,5655,1.9979,PnL,2009-12-11,1.9944,1.9602,2,0,0,2009-12-10,2009-12-10,0.0171,141.9405
2009-12-16,Lex,2.0335,2778,1.975,D3,2009-12-18,2.05,1.9381,3,0,2,2009-12-16,2009-12-17,0.0546,-162.3741
2009-12-16,Lex,2.0335,2778,2.0568,PnL,2009-12-22,2.0556,1.9268,5,4,3,2009-12-21,2009-12-18,0.0627,64.8663
2010-01-04,Lex,2.0916,5355,2.1411,PnL,2010-01-04,2.146,2.0905,1,0,0,2010-01-04,2010-01-04,0.0259,265.1796
2010-01-13,Lex,2.177,5267,2.2161,PnL,2010-01-13,2.2331,2.1441,1,0,0,2010-01-13,2010-01-13,0.0399,205.7817
2010-01-19,Lex,2.1545,5417,2.2395,PnL,2010-01-19,2.2529,2.1541,1,0,0,2010-01-19,2010-01-19,0.0439,460.3367
2010-01-25,Lex,1.9613,3093,1.9397,D3,2010-01-27,1.9732,1.8984,3,2,2,2010-01-26,2010-01-26,0.0379,-66.9325
2010-01-25,Lex,1.9613,3093,1.8951,Exp,2010-02-01,1.9732,1.8018,6,2,5,2010-01-26,2010-01-29,0.0869,-204.6329
2010-02-08,Lex,1.7703,6700,1.7931,PnL,2010-02-09,1.7995,1.7237,2,0,0,2010-02-08,2010-02-08,0.0421,152.961
